year,internet,pop
1960,0.0000,88296070
1961,0.0000,90791249
1962,0.0000,93375850
1963,0.0000,96051424
1964,0.0000,98833749
1965,0.0000,101365130
1966,0.0000,103792754
1967,0.0000,106526393
1968,0.0000,109450006
1969,0.0000,112517639
1970,0.0000,115657495
1971,0.0000,118833702
1972,0.0000,122039841
1973,0.0000,125288515
1974,0.0000,128555045
1975,0.0000,131843848
1976,0.0000,135173655
1977,0.0000,138533541
1978,0.0000,141953163
1979,0.0000,145434834
1980,0.0000,148950540
1981,0.0000,152485035
1982,0.0000,156052152
1983,0.0000,159651381
1984,0.0000,163251124
1985,0.0000,166776185
1986,0.0000,170175065
1987,0.0000,173511154
1988,0.0000,176855065
1989,0.0000,180201630
1990,0.0000,183501098
1991,0.0000,186778238
1992,0.0000,190043744
1993,0.0000,193305168
1994,0.0011,196591828
1995,0.0261,199888057
1996,0.0566,203204348
1997,0.1949,206536095
1998,0.2553,209826788
1999,0.4444,213004668
2000,0.9256,216077790
2001,2.0186,219097902
2002,2.1341,222088495
2003,2.3870,225048008
2004,2.6003,227926649
2007,5.7863,237062337
2008,7.9175,240157903
2009,6.9200,243220028
2010,10.9200,246305322
2011,12.2800,249470032
2012,14.5200,252698525
2013,14.9400,255852467
2014,17.1432,258877399
2017,32.3358,267346658
2018,39.9046,269951846
2019,47.6906,272489381
2020,53.7265,274814866
2021,62.1045,276758053
2022,66.4846,278830529
2023,69.2084,281190067
